account_code,hoa,account_code_description,receipt_or_payment,positive_or_negative,part
8671004100,867100102010000,Receipts pending for classification_Cleared,Payment Side,Positive,Part III
8016012300,801606108010200,Actuarial Software - Infrastructure and Maintenance,Payment Side,Positive,Part III
8016012400,801606108010200,Actuarial Software -Software Solution,Payment Side,Positive,Part III
8016012500,801606108010200,Actuarial Software - Other Charges,Payment Side,Positive,Part III
3201095112,320106101030112,Dispensaries-Foreign Travel Expenses,Payment Side,Positive,Part I
3201002702,320101001020102,BD Directorate-Wages,Payment Side,Positive,Part I
3201016408,320101101040108,RMS Divisions-LTC,Payment Side,Positive,Part I
3201098304,320107104020004,DCRG for erst.while combined P&T Dept-Pensionary Charges,Payment Side,Positive,Part I
3201098463,320107104030063,IA Transfer -DCRG-from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201098504,320107107010004,Family Pension-Pensionary Charges,Payment Side,Positive,Part I
3201098604,320107107020004,Family Pension-for erst.twhile P&T Dept-Pensionary Charges,Payment Side,Positive,Part I
3201098763,320107107030063,IA Transfer -Family Pension from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201098804,320107108010004,Leave Encashment Benefits-Pensionary Charges,Payment Side,Positive,Part I
3201098904,320107108020004,Leave Encashment -for erst. P&T Dept-Pensionary Charges,Payment Side,Positive,Part I
3201041113,320102101100113,Gramin Dak Sevaks-Office Expenses,Payment Side,Positive,Part I
3201099063,320107108030063,IA Transfer -Leave Encashment from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201099204,320107110020004,Govt contribution for NPS of Audit employees,Payment Side,Positive,Part I
3201099404,320107200010104,Workmens Compensation Act (Postal)-Pensionary Charges,Payment Side,Positive,Part I
3201099663,320107200020063,IA Transfer -other pension from DOT-Govt. Adjustments,Payment Side,Positive,Part I
3201099770,320107911010070,Pension-Deduct-Recoveries of Overpayments of Previous FYs,Receipt Side,Negative,Part I
3201099828,320108101030128,Governement Security Press-Professional Services,Payment Side,Positive,Part I
3201099928,320108101030228,Private Security Press-Professional Services,Payment Side,Positive,Part I
3201100028,320108101040128,Post cards/envelope Govt. Security Press-PPSS,Payment Side,Positive,Part I
3201100128,320108101050128,IPOs-Govt. Security Press-Professional Services,Payment Side,Positive,Part I
3201100264,320108101090064,Printing Post cards/envelops Write off of losses,Payment Side,Positive,Part I
3201061507,320103101020107,SB(ICO)-Allowances,Payment Side,Positive,Part I
3201061608,320103101020108,SB(ICO)-LTC,Payment Side,Positive,Part I
3201061711,320103101020111,SB(ICO)-Domestic Travel Expenses,Payment Side,Positive,Part I
3201061813,320103101020113,SB(ICO)-Office Expenses,Payment Side,Positive,Part I
3201082028,320103101131328,NFS Penalty Expense,Payment Side,Positive,Part I
3201061914,320103101020114,"SB(ICO)-Rent,Rates & Taxes for Land and Buildings",Payment Side,Positive,Part I
3201062016,320103101020116,SB(ICO)-Printing and Publication,Payment Side,Positive,Part I
3201062118,320103101020118,SB(ICO)-Rent for Others,Payment Side,Positive,Part I
3201062219,320103101020119,SB(ICO)-Digital Equipment,Payment Side,Positive,Part I
3201062321,320103101020121,SB(ICO)-Materials and Supplies,Payment Side,Positive,Part I
3201062424,320103101020124,SB(ICO)-Fuels and Lubricants,Payment Side,Positive,Part I
3201062526,320103101020126,SB(ICO)-Advertising and Publicity,Payment Side,Positive,Part I
3201062627,320103101020127,SB(ICO)-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201062728,320103101020128,SB(ICO)-Professional Services,Payment Side,Positive,Part I
3201062829,320103101020129,SB(ICO)-Repair and Maintenance,Payment Side,Positive,Part I
